tD,pD,dD,CD,s
215.44346900318823,4.098958011477613,0.49306479670617603,0.01,1.0
278.2559402207126,4.225292754735101,0.49438991644805397,0.01,1.0
359.38136638046257,4.351930200753138,0.4954742972497328,0.01,1.0
464.1588833612773,4.4788198060259745,0.49634733210270077,0.01,1.0
599.4842503189409,4.605903971385814,0.49705433979059105,0.01,1.0
774.2636826811262,4.733155342294822,0.4976436302042876,0.01,1.0
1000.0,4.860541039059555,0.49811126725350563,0.01,1.0
1291.5496650148827,4.988031693101554,0.49848514897147334,0.01,1.0
1668.100537200059,5.115608699748584,0.49879576934090164,0.01,1.0
2154.4346900318824,5.2432582937533,0.4990416686830985,0.01,1.0
2782.55940220712,5.370961123546934,0.49922423178617187,0.01,1.0
3593.813663804626,5.4987041324582435,0.4993797555593613,0.01,1.0
4641.588833612773,5.626486541523377,0.4995102381984583,0.01,1.0
5994.8425031894085,5.75429631651906,0.49961280300817457,0.01,1.0
7742.636826811262,5.882131206517954,0.4996950755389943,0.01,1.0
10000.0,6.0099830791809765,0.49974533211048716,0.01,1.0
12915.496650148827,6.137843684742613,0.49979358417126946,0.01,1.0
16681.005372000556,6.26572024728916,0.4998480633135485,0.01,1.0
21544.346900318822,6.393608729042107,0.4998718015413833,0.01,1.0
27825.5940220712,6.521497438097441,0.49990606728165027,0.01,1.0
35938.13663804626,6.649403453135442,0.4999315190490586,0.01,1.0
46415.888336127726,6.777305185493049,0.4999296441359164,0.01,1.0
59948.42503189409,6.905210241165037,0.4999534556356015,0.01,1.0
77426.36826811262,7.033124157523581,0.4999674355574102,0.01,1.0
100000.0,7.161036366519916,0.4999636500326146,0.01,1.0
129154.96650148826,7.288948345880023,0.4999797365758673,0.01,1.0
166810.05372000558,7.416868786128511,0.4999853473743374,0.01,1.0
215443.46900318822,7.544783636453268,0.49997315943716397,0.01,1.0
278255.94022071204,7.6726978403101,0.4999883658066806,0.01,1.0
359381.36638046254,7.800620471514804,0.4999910706771999,0.01,1.0
464158.8833612772,7.928536059414867,0.49997633521366636,0.01,1.0
599484.2503189408,8.056451150695423,0.49999712712243477,0.01,1.0
774263.6826811262,8.184377377515304,0.5000079746766151,0.01,1.0
1000000.0,8.312298019332871,0.499981347720458,0.01,1.0
1291549.6650148828,8.440210621523349,0.5000089988535121,0.01,1.0
1668100.5372000558,8.568145412026865,0.5000202416886086,0.01,1.0
2154434.6900318777,8.696063767013896,0.4999714163347739,0.01,1.0
2782559.402207126,8.823973574288104,0.49998378878752947,0.01,1.0
3593813.6638046256,8.951898260080753,0.500023703811185,0.01,1.0
4641588.833612773,9.079828491296837,0.4999975115789402,0.01,1.0
5994842.503189396,9.207739774902038,0.49997770295475447,0.01,1.0
7742636.826811277,9.335659870330844,0.5000105489969073,0.01,1.0
10000000.0,9.46358796078205,0.5000119312656696,0.01,1.0
12915496.650148828,9.591508763497842,0.49998226170536403,0.01,1.0
16681005.372000556,9.719421672462985,0.5000048422017306,0.01,1.0
21544346.90031878,9.847354029293072,0.5000118608211929,0.01,1.0
27825594.022071257,9.975270529584563,0.49999185982663413,0.01,1.0
35938136.63804626,10.103192652194224,0.5000147060361241,0.01,1.0
46415888.33612773,10.23112084256158,0.5000152873457586,0.01,1.0
